72, -8, 306
70, -30, 302
56, -60, 300
40, -74, 314
34, -12, 320
30, -8, 294
40, 36, 304
34, 16, 298
10, 6, 284
18, 24, 290
2, 12, 272
-4, 36, 272
-10, 16, 258
-14, 0, 260
-20, -24, 264
-14, -20, 272
-24, 0, 256
-16, 12, 266
-10, 28, 258
0, 42, 266
0, 50, 284
-12, 84, 296
24, 34, 290
0, 64, 298
-12, 78, 296
0, 80, 308
38, 44, 314
20, 14, 306
90, -22, 310
58, -24, 302
58, -56, 298
12, 0, 290
4, -10, 302
-42, -18, 294
0, -40, 298
-34, -58, 284
-8, -52, 284
-28, -4, 274
-6, 46, 288
-16, 26, 282
6, 12, 298
10, 36, 292
-8, 48, 296
-46, 64, 290
-36, 88, 296
-40, 72, 306
6, 46, 314
30, 8, 340
56, 10, 326
42, 0, 306
44, -14, 296
52, -34, 316
64, -46, 316
46, -36, 320
46, -36, 316
22, 0, 320
-32, -40, 324
-52, -36, 320
4, 2, 318
2, -26, 322
34, -36, 320
52, -32, 312
64, -34, 308
50, -8, 286
78, 26, 298
48, -24, 286
60, -30, 306
52, -36, 296
56, -26, 300
40, 0, 302
26, -18, 282
46, -24, 286
24, -18, 286
4, 20, 288
26, 36, 290
2, 38, 280
2, 30, 298
-6, 66, 308
24, 48, 292
38, 46, 288
24, 2, 290
60, 46, 284
62, 24, 298
42, -28, 298
22, -40, 304
36, -12, 296
-8, 12, 294
4, -30, 278
-26, -54, 282
-12, 10, 266
-12, -6, 278
0, -22, 280
-10, 0, 274
34, 10, 272
-8, 28, 288
14, 38, 284
-16, 58, 290
-20, 52, 286
-90, 84, 296
-76, 86, 320
-72, 70, 302
-34, 38, 312
0, 44, 314
28, 50, 302
74, 30, 298
90, 10, 306
90, 2, 290
96, -14, 306
66, -44, 298
30, -38, 318
2, -30, 314
-22, -20, 314
-50, -48, 310
-44, -46, 304
-32, -26, 300
-56, 0, 296
-18, 20, 290
0, 16, 290
-16, 24, 290
4, 60, 292
0, 60, 290
-28, 50, 302
2, 32, 320
-4, 28, 328
6, -12, 314
10, 4, 318
68, 0, 324
56, 0, 340
94, -8, 320
82, -60, 328
100, -44, 304
102, -18, 330
86, 0, 312
46, -40, 300
52, -64, 300
42, -82, 300
24, -66, 296
12, -38, 288
0, -48, 278
-26, -48, 282
0, 6, 266
-40, 2, 260
-6, -4, 258
-10, 0, 264
-20, 6, 260
-32, 26, 258
-14, 50, 264
0, 38, 278
-6, 82, 282
36, 62, 284
64, 0, 300
64, -40, 298
64, 28, 298
100, 26, 290
64, 32, 306
18, -56, 300
32, -60, 320
2, -8, 310
-50, 22, 280
-64, -16, 300
-12, -10, 284
-26, -36, 284
-48, -40, 282
-34, -24, 266
-58, 36, 256
-16, 38, 268
-8, 38, 292
12, 22, 290
-20, 12, 296
0, 42, 280
0, 70, 278
24, 98, 296
12, 58, 280
62, 22, 304
54, 70, 292
40, 54, 296
0, 48, 290
8, 14, 304
16, 26, 308
0, -16, 312
0, 0, 320
-16, 4, 328
-26, -18, 320
-8, -38, 312
-6, -38, 316
2, -20, 320
30, 0, 320
32, -26, 332
32, -46, 318
44, -16, 328
46, -18, 324
30, -18, 310
48, -28, 300
58, -66, 306
38, -22, 312
4, 16, 300
4, 8, 290
2, -28, 292
10, -36, 306
-8, 0, 304
0, 14, 304
-12, 6, 288
8, 12, 302
10, -10, 310
42, 10, 312
64, -16, 298
88, -8, 312
74, -24, 312
64, -38, 318
62, -16, 290
52, -46, 296
44, -46, 294
26, -40, 302
26, -44, 290
18, -10, 282
14, 10, 290
18, 22, 284
18, 4, 284
4, 0, 254
34, -16, 256
16, 12, 260
-16, 34, 274
-48, 64, 268
-46, 86, 276
-88, 64, 282
-46, 38, 284
-36, 34, 278
-22, 34, 286
16, 32, 286
64, 24, 294
84, -10, 282
102, -62, 284
100, -18, 292
66, 0, 304
22, -18, 296
-36, -18, 304
-8, -26, 300
-56, -16, 312
-40, 12, 306
-16, 44, 292
-8, 36, 280
10, 2, 276
42, 8, 292
32, 44, 278
38, 50, 280
-10, 28, 280
-34, 50, 292
-72, 52, 290
-52, 24, 294
-54, 14, 312
-18, 14, 312
10, 0, 302
62, -14, 290
50, -42, 284
94, 0, 300
64, 54, 306
60, 46, 308
30, 0, 318
12, -18, 324
-48, -4, 322
-44, 2, 322
-48, 22, 314
-8, -26, 320
6, -40, 326
56, -34, 312
66, -16, 298
78, -40, 298
74, -44, 294
72, -68, 300
72, -78, 296
36, -36, 310
2, 0, 306
-22, 26, 302
-22, -12, 304
-34, -38, 304
-38, -28, 296
0, 8, 286
14, 10, 304
14, 10, 290
50, 6, 300
40, 32, 290
56, 50, 284
76, 24, 286
66, 10, 298
60, 40, 286
80, -10, 300
38, -16, 276
44, -46, 298
10, -24, 296
-14, -18, 278
12, 0, 270
10, -48, 272
8, -58, 280
0, -10, 278
-4, 10, 270
-36, 18, 262
-42, 26, 280
-92, 34, 280
-108, 8, 286
-86, 36, 296
-96, 66, 304
-68, 70, 314
-26, 74, 294
44, 56, 292
104, 18, 314
120, 6, 318
156, 30, 306
138, 48, 296
112, 10, 298
68, 8, 310
6, -8, 310
0, -26, 314
-32, -16, 308
-64, -8, 308
-92, -10, 294
-42, -18, 290
-24, -16, 294
-10, 46, 286
-4, 58, 298
2, 34, 286
-12, 10, 302
0, 16, 310
-12, 24, 304
-36, 14, 316
-16, 18, 318
-4, 16, 334
8, 2, 322
62, -6, 320
98, -58, 308
120, -60, 324
128, -24, 308
